score_variant,side,threshold,horizon,n,dates,pooled_mean_exqqq,equal_date_mean_exqqq,date_ci_lo,date_ci_hi,event_directional_hit,date_directional_hit
score_exact_current,DOWN,28,3,164,7,-0.007345935828570042,-0.01207609789291213,-0.02741381296284971,2.8389807941823465e-05,0.5914634146341463,0.7142857142857143
score_exact_current,DOWN,28,5,156,6,-0.011870361321270418,-0.010612533071975344,-0.021642250962993225,-0.0015877065576836741,0.6346153846153846,0.8333333333333334
score_exact_current,DOWN,28,10,102,4,-0.028963859193350646,-0.05335816038065611,-0.10843673526505496,-0.023504450039364286,0.7156862745098039,1.0
score_exact_current,DOWN,24,1,83,7,-0.007876533568158352,0.004337941527272018,-0.005412078441703905,0.014326573395083734,0.5903614457831325,0.42857142857142855
score_exact_current,DOWN,24,3,80,5,-0.010436925567252123,0.006350080456470848,-0.013506446578619375,0.03550311077235158,0.6375,0.6
score_exact_current,DOWN,24,5,79,4,-0.017111828032868176,-0.01112955261038832,-0.02801426266420897,0.0033261167126444544,0.6835443037974683,0.75
score_exact_current,DOWN,24,10,53,2,-0.04413399119749183,-0.04405941975566974,,,0.7735849056603774,1.0
score_exact_current,DOWN,20,1,40,4,-0.009589833580645515,-0.003003855666572602,-0.016831551823195214,0.00819830209382343,0.575,0.5
score_exact_current,DOWN,20,3,39,3,-0.019432916834982737,-0.015995920618475486,-0.03292338335238784,-0.00028874536199169874,0.6923076923076923,1.0
score_exact_current,DOWN,20,5,39,3,-0.017635334734567295,-0.01631166330088581,-0.04251653800426323,-0.002388167691962978,0.6666666666666666,1.0
score_exact_current,DOWN,20,10,25,2,-0.043493326317781245,-0.04475651600231742,,,0.76,1.0
score_no_wall,UP,60,1,1151,10,0.0016607607031405933,-0.0003763934964778568,-0.006752155599457372,0.006331938265092693,0.4596003475238923,0.5
score_no_wall,UP,60,3,1096,8,0.0018075059271944202,0.0031883545769519576,-0.014468882516217361,0.02403835344873371,0.48722627737226276,0.375
score_no_wall,UP,60,5,1067,7,-0.001578918847069763,0.00048095996268799533,-0.014802321133305605,0.017506704121946624,0.44048734770384257,0.42857142857142855
score_no_wall,UP,60,10,653,4,0.0012274596471828147,0.01027678169663182,-0.0095508726063399,0.038548872312815494,0.5130168453292496,0.5
score_no_wall,UP,64,1,910,10,0.002770320850416844,0.00019665550543818843,-0.009031563481649569,0.01076225631060712,0.4747252747252747,0.4
score_no_wall,UP,64,3,879,8,0.0034531012832906853,0.007525084064599506,-0.017520828805821072,0.04110633686589986,0.49943117178612056,0.5
score_no_wall,UP,64,5,859,7,0.0009016848130769667,0.006422674353727529,-0.013755729296782626,0.029600844980366508,0.4540162980209546,0.42857142857142855
score_no_wall,UP,64,10,542,4,0.003203363077895318,0.022130102940953255,-0.014746297128872942,0.07706780770270452,0.5276752767527675,0.75
score_no_wall,UP,68,1,910,10,0.002770320850416844,0.00019665550543818843,-0.009531113154959298,0.0107015991784718,0.4747252747252747,0.4
score_no_wall,UP,68,3,879,8,0.0034531012832906853,0.007525084064599506,-0.01751716212055293,0.04071175224754133,0.49943117178612056,0.5
score_no_wall,UP,68,5,859,7,0.0009016848130769667,0.006422674353727529,-0.013379369601534399,0.02960714393972243,0.4540162980209546,0.42857142857142855
score_no_wall,UP,68,10,542,4,0.003203363077895318,0.022130102940953255,-0.014746297128872942,0.07706780770270452,0.5276752767527675,0.75
score_no_wall,UP,72,1,768,10,0.0007383304789507173,-0.006327279216261419,-0.012835823146817095,-1.5747841434068655e-05,0.4791666666666667,0.3
score_no_wall,UP,72,3,751,8,0.0007838748419550285,-0.004150007300278206,-0.020168245636050894,0.01172786797799803,0.4993342210386152,0.5
score_no_wall,UP,72,5,734,7,-0.0017246198928917572,0.006090452979469479,-0.015974434541241953,0.032492433426045124,0.4550408719346049,0.5714285714285714
score_no_wall,UP,72,10,459,4,0.0036570830996901283,0.021452896240812105,-0.014151910675604857,0.07378458223051182,0.55119825708061,0.75
score_no_wall,UP,76,1,193,9,0.003449285083174721,-0.008253274957011052,-0.016342046768196294,0.0006589921595536951,0.5440414507772021,0.2222222222222222
score_no_wall,UP,76,3,187,7,0.009246558566843928,-0.02074907169535025,-0.042046797338364174,0.003433716292928515,0.6631016042780749,0.2857142857142857
score_no_wall,UP,76,5,184,6,0.0017318176403700353,-0.028183019451125543,-0.0559374797651729,0.00041306936485010587,0.5380434782608695,0.3333333333333333
