date,n,top_n,bottom_n,top,bottom,spread,feature,horizon,note
2026-09-01,74,15,14,0.005033584169440852,-0.014029195334008556,0.01906277950344941,log_wall_rr,3,higher=bullish
2026-08-18,593,119,118,0.003309663841899629,-0.0011571644885799985,0.004466828330479627,signed_log_gex_per_oi,3,higher test only; dealer side unknown
2026-08-19,593,119,118,0.01679594137117022,-0.003493444778978583,0.020289386150148803,signed_log_gex_per_oi,3,higher test only; dealer side unknown
2026-08-21,40,9,8,0.005899377118655788,0.0036331129135099244,0.002266264205145864,signed_log_gex_per_oi,3,higher test only; dealer side unknown
2026-08-24,701,141,140,-0.029682462976134406,-0.010371648400205572,-0.019310814575928835,signed_log_gex_per_oi,3,higher test only; dealer side unknown
2026-08-25,57,12,11,-0.010578113245963533,-0.011038601308929065,0.0004604880629655323,signed_log_gex_per_oi,3,higher test only; dealer side unknown
2026-08-27,39,8,7,-0.010096395701061824,-0.002806592085986042,-0.007289803615075782,signed_log_gex_per_oi,3,higher test only; dealer side unknown
2026-09-01,75,16,15,-0.004164421026982844,0.014458518819924545,-0.01862293984690739,signed_log_gex_per_oi,3,higher test only; dealer side unknown
2026-08-18,287,29,49,0.013694836642321793,-0.0037278665738182913,0.017422703216140083,options_score,3,quality-gated
2026-08-19,282,61,43,0.01935151957798803,-0.001599753789276032,0.020951273367264062,options_score,3,quality-gated
2026-08-24,128,28,18,-0.00345721971293056,0.008993641350272315,-0.012450861063202874,options_score,3,quality-gated
2026-08-18,606,43,70,0.020047944979362207,-0.016815071538278333,0.03686301651764054,tech_score,5,higher=bullish
2026-08-19,604,131,166,0.015189547309583393,-0.002258848512182243,0.017448395821765637,tech_score,5,higher=bullish
2026-08-21,56,5,15,-0.007371654707260538,-0.017780069366745956,0.010408414659485417,tech_score,5,higher=bullish
2026-08-24,728,42,84,-0.0477614991551696,-0.018346879420382912,-0.029414619734786686,tech_score,5,higher=bullish
2026-08-25,82,11,27,-0.04437501671411027,-0.02774008989745275,-0.016634926816657517,tech_score,5,higher=bullish
