sample,model,metric,dates,mean,ci_lo,ci_hi,delta_vs_base,delta_ci_lo,delta_ci_hi,improved_date_fraction
pair:base+depth+flip+wall_dist,base+depth+flip+wall_dist,spread,6,0.014353452212449038,5.943439046782155e-05,0.02899108518692366,0.009242050192963206,0.003066161851648038,0.016153600355032004,0.8333333333333334
pair:base+depth+flip+wall_dist,base+depth+flip+wall_dist,mse,6,0.0023753464248318745,0.002025445575641362,0.0028293990813460386,-0.0001170430397873744,-0.00029665253159920433,9.365137844155288e-05,0.6666666666666666
pair:base+depth+flip+wall_rr,base,ic,6,0.05486875699131844,-0.027119442544124264,0.15316710015850157,0.0,0.0,0.0,0.0
pair:base+depth+flip+wall_rr,base,spread,6,0.0051114020194858315,-0.006738840782406115,0.01861954197618868,0.0,0.0,0.0,0.0
pair:base+depth+flip+wall_rr,base,mse,6,0.002492389464619249,0.0020172596501372773,0.0030445068491920043,0.0,0.0,0.0,0.0
pair:base+depth+flip+wall_rr,base+depth+flip+wall_rr,ic,6,0.11900280437557957,0.0734387703510558,0.17346819875795236,0.06413404738426111,0.018240823881281686,0.11594668680449106,0.8333333333333334
pair:base+depth+flip+wall_rr,base+depth+flip+wall_rr,spread,6,0.021817254453929753,0.0109385303936514,0.03323753849044161,0.01670585243444392,0.010034546969505363,0.024872954360010052,1.0
pair:base+depth+flip+wall_rr,base+depth+flip+wall_rr,mse,6,0.002348652799780448,0.001980389372391021,0.0027933276858261823,-0.00014373666483880109,-0.00027680282332642666,1.3256131388912165e-05,0.6666666666666666
pair:base+depth+gex,base,ic,6,0.16165419953462137,0.09780038987829709,0.2253736179510083,0.0,0.0,0.0,0.0
pair:base+depth+gex,base,spread,6,0.02236446197027663,0.00925662407886883,0.033550646509589714,0.0,0.0,0.0,0.0
pair:base+depth+gex,base,mse,6,0.0032536354399541347,0.0018651521474104106,0.0054307560569680675,0.0,0.0,0.0,0.0
pair:base+depth+gex,base+depth+gex,ic,6,0.1516697425410659,0.11274143661336795,0.1970006908425286,-0.00998445699355549,-0.03900799118659507,0.01993344123075126,0.5
pair:base+depth+gex,base+depth+gex,spread,6,0.024648907330339285,0.014096218811293323,0.03765676811407511,0.002284445360062656,-0.00822443996722634,0.01112444770255918,0.6666666666666666
pair:base+depth+gex,base+depth+gex,mse,6,0.0030937402625773793,0.0018698321461612126,0.005169538506872165,-0.00015989517737675536,-0.00031844740696933277,-9.10167680603613e-07,0.8333333333333334
pair:base+depth+wall_rr,base,ic,6,0.051695378022848924,-0.02834378458961892,0.14279443145768667,0.0,0.0,0.0,0.0
pair:base+depth+wall_rr,base,spread,6,0.008645672098726033,-0.009105991710706765,0.02470655877250587,0.0,0.0,0.0,0.0
pair:base+depth+wall_rr,base,mse,6,0.002469675980375402,0.0019890676100711813,0.0030558380993236036,0.0,0.0,0.0,0.0
pair:base+depth+wall_rr,base+depth+wall_rr,ic,6,0.0968760243039573,0.05312103421467774,0.1536420356522617,0.04518064628110838,0.010567476243808112,0.08316223925930975,0.6666666666666666
pair:base+depth+wall_rr,base+depth+wall_rr,spread,6,0.01742508174578982,0.007420678529136768,0.02944704566211895,0.008779409647063788,-0.007677910805842139,0.024128456278399917,0.6666666666666666
pair:base+depth+wall_rr,base+depth+wall_rr,mse,6,0.002322251042266885,0.0019336639216339785,0.0028157932782537174,-0.00014742493810851747,-0.0002777571183292606,-5.179229636465491e-06,0.8333333333333334
pair:base+flip,base,ic,6,0.1453742526378904,0.05423278598644469,0.24226605130663684,0.0,0.0,0.0,0.0
pair:base+flip,base,spread,6,0.017435769522026422,0.00374159355906691,0.029907358580694952,0.0,0.0,0.0,0.0
pair:base+flip,base,mse,6,0.00329609760410601,0.0019469979757614786,0.005438425533971461,0.0,0.0,0.0,0.0
pair:base+flip,base+flip,ic,6,0.13720486248338246,0.0467725627449287,0.2352222922941601,-0.008169390154507931,-0.014197758473192061,-0.0020704574772354126,0.3333333333333333
pair:base+flip,base+flip,spread,6,0.017052018299286844,0.00462265325967934,0.02976440259524719,-0.00038375122273957824,-0.0023018479288455383,0.0013572369861677704,0.5
pair:base+flip,base+flip,mse,6,0.0032936023664978304,0.0019493233837767014,0.00538787583081816,-2.495237608180238e-06,-1.6324000334927973e-05,1.247786505184428e-05,0.6666666666666666
pair:base+oi,base,ic,6,0.16165419953462137,0.097565579760156,0.2291214059099571,0.0,0.0,0.0,0.0
pair:base+oi,base,spread,6,0.02236446197027663,0.009193632865554276,0.03386063310101948,0.0,0.0,0.0,0.0
pair:base+oi,base,mse,6,0.0032536354399541347,0.001865152147410411,0.0054307560569680675,0.0,0.0,0.0,0.0
pair:base+oi,base+oi,ic,6,0.15475044915767772,0.11307009953776952,0.1981779636208176,-0.006903750376943632,-0.03210310061241257,0.02140114576731141,0.5
pair:base+oi,base+oi,spread,6,0.024040963412368267,0.013716575041102108,0.03824292441428235,0.0016765014420916389,-0.00972061748858548,0.012970940234232372,0.6666666666666666
pair:base+oi,base+oi,mse,6,0.0030833903407369648,0.001852067806495033,0.005163202944905687,-0.00017024509921717012,-0.0003231965186365491,-7.506186069344219e-06,0.8333333333333334
pair:base+strikes,base,ic,6,0.16165419953462137,0.09589659929320286,0.22912651885391805,0.0,0.0,0.0,0.0
pair:base+strikes,base,spread,6,0.02236446197027663,0.009193632865554276,0.03367465429202018,0.0,0.0,0.0,0.0
pair:base+strikes,base,mse,6,0.0032536354399541347,0.0018697908461776777,0.0054307560569680675,0.0,0.0,0.0,0.0
pair:base+strikes,base+strikes,ic,6,0.13144330059345485,0.07478542034131204,0.1979779621857277,-0.030210898941166502,-0.06419597480515861,0.0006814589771413949,0.16666666666666666
pair:base+strikes,base+strikes,spread,6,0.022612539390116853,0.01081255589989903,0.036103665982425794,0.0002480774198402195,-0.005697587688477679,0.006452687752149842,0.3333333333333333
pair:base+strikes,base+strikes,mse,6,0.003218542754140344,0.0018946735866910362,0.005307098763121066,-3.509268581379098e-05,-9.811856442567877e-05,4.6189563951977756e-05,0.6666666666666666
strict_common,base,ic,6,0.05486875699131844,-0.029371734850050343,0.15572399056350375,0.0,0.0,0.0,0.0
strict_common,base,spread,6,0.0051114020194858315,-0.006483526923594416,0.01835656794079094,0.0,0.0,0.0,0.0
strict_common,base,mse,6,0.002492389464619249,0.0020172596501372773,0.0030445068491920043,0.0,0.0,0.0,0.0
strict_common,base+all_dist,ic,6,0.08258813870176195,0.00429711885707679,0.16504923259410012,0.027719381710443497,-0.010313297670690414,0.0657520610915774,0.8333333333333334
strict_common,base+all_dist,spread,6,0.014226548513258065,-0.0019108029825098587,0.030680578428820344,0.009115146493772234,0.0009905752227052373,0.01609256625187564,0.8333333333333334
strict_common,base+all_dist,mse,6,0.00237940559913574,0.0020201194356058686,0.00279772605774836,-0.00011298386548350913,-0.0002940114692738856,0.00010412920438831959,0.6666666666666666
strict_common,base+all_rr,ic,6,0.11249046492236574,0.05288311741670196,0.17929713380519693,0.05762170793104729,0.021261322124697498,0.09129424788413604,0.8333333333333334
