sample,date,model,n,ic,spread,mse
pair:base+depth+flip+gex,2026-08-19,base+depth+flip+gex,575,0.12126798969853053,0.015123891187103332,0.0017183721420726949
pair:base+depth+flip+gex,2026-08-21,base,36,0.30862290862290864,0.02730531674210675,0.002273604953005743
pair:base+depth+flip+gex,2026-08-21,base+depth+flip+gex,36,0.2712998712998713,0.0436293322337403,0.002131793879497652
pair:base+depth+flip+gex,2026-08-24,base,615,0.035772788093219106,0.003485584278699591,0.0030786798150524816
pair:base+depth+flip+gex,2026-08-24,base+depth+flip+gex,615,0.08995322542059507,0.008727122747216508,0.0026433393553623613
pair:base+depth+flip+gex,2026-08-25,base,45,0.0903820816864295,0.02961075247804519,0.002649494641004489
pair:base+depth+flip+gex,2026-08-25,base+depth+flip+gex,45,0.1401844532279315,0.01194709156946203,0.0023152571387084603
pair:base+depth+flip+gex,2026-08-27,base,31,0.002419354838709678,-0.008063678878303907,0.0016783347393896397
pair:base+depth+flip+gex,2026-08-27,base+depth+flip+gex,31,-0.014112903225806453,0.009071364320821427,0.0018970800989756512
pair:base+depth+flip+wall_rr,2026-08-18,base,265,0.2641296637820968,0.0318407481745884,0.0037561807018845275
pair:base+depth+flip+wall_rr,2026-08-18,base+depth+flip+wall_rr,265,0.24261146003946402,0.04338988273455411,0.0034297172416672033
pair:base+depth+flip+wall_rr,2026-08-19,base,575,0.08318581780538303,0.0023643234088445795,0.0019384490788838572
pair:base+depth+flip+wall_rr,2026-08-19,base+depth+flip+wall_rr,575,0.09543591880018179,0.009960744636917533,0.0017533045401402563
pair:base+depth+flip+wall_rr,2026-08-21,base,36,0.10630630630630632,0.019378045068424773,0.0022612080174486664
pair:base+depth+flip+wall_rr,2026-08-21,base+depth+flip+wall_rr,36,0.16241956241956243,0.03623253484426856,0.0022694588064462447
pair:base+depth+flip+wall_rr,2026-08-24,base,615,-0.024416683576033972,-0.007125205356288928,0.002773797694578446
pair:base+depth+flip+wall_rr,2026-08-24,base+depth+flip+wall_rr,615,0.055119331209577856,0.0011876631276801705,0.0024550942234233693
