condition,horizon,n,dates,tickers,mean_exqqq,ci_lo,ci_hi,raw_mean,median_exqqq,win_exqqq,p_boot,q_bh
Put Wall 0-0.5ATR,5,499,6,366,-0.0010922863760218877,-0.021739804529428502,0.006726896267790727,-0.00325501417100177,-0.0041276066451017,0.45691382765531063,0.8609492089925063,0.9711110306628534
Sector 20d momentum >0,5,1631,7,696,-0.0011376365279907401,-0.02327852720188085,0.013178686890240772,-0.0013552608635107846,-0.0045157359729897095,0.4537093807480074,0.8967527060782681,0.9711110306628534
Flip > +0.35ATR,5,1244,6,609,-0.0011411067536237132,-0.027560774884514375,0.018291500869195787,-0.000990898044413285,-0.005585722404753968,0.4316720257234727,0.9217318900915903,0.9711110306628534
Price > 63d VWAP,5,1382,7,582,-0.001369160026133778,-0.02392570081049516,0.014637264869302485,-0.0011221140714005478,-0.005102432328854489,0.4435600578871201,0.9017485428809325,0.9711110306628534
Price > EMA21,5,1202,7,566,-0.0021244143436399666,-0.025202000165709174,0.01428238629496719,-0.001732994438232609,-0.006886663461306508,0.4292845257903494,0.8925895087427144,0.9711110306628534
Net GEX >0,5,1479,7,689,-0.0023437219671275057,-0.024070055237929797,0.013904379387806661,-0.0019036705181782905,-0.006638470155246656,0.4239350912778905,0.8576186511240633,0.9711110306628534
Put Wall 0.5-1ATR,5,407,6,330,-0.0028294049114196067,-0.02657634099296028,0.012271665729444759,-0.002960799400373666,-0.005973981132048944,0.44717444717444715,0.7951706910907577,0.9711110306628534
Positive gamma regime,5,1047,7,555,-0.003595108877893728,-0.02677688000874544,0.013662001157299906,-0.00272240123579555,-0.006916506286885227,0.42311365807067813,0.8051623646960866,0.9711110306628534
Flip near ±0.35ATR,5,238,6,180,-0.00387071365962281,-0.01918748981913406,0.001472914658037944,-0.006689842844212956,-0.0012405850377240069,0.4789915966386555,0.3896752706078268,0.9711110306628534
Normal move day |r|<5%,5,1983,7,827,-0.004320746009302122,-0.024402602208697523,0.012684338370566135,-0.003618748165424218,-0.007130146206039356,0.4150277357539082,0.6727726894254787,0.9711110306628534
Put Wall 1-2ATR,5,450,6,357,-0.00648127537070504,-0.024048628372624788,0.008932216613223602,-0.0044041316434932296,-0.005585722404753968,0.4222222222222222,0.5237302248126561,0.9711110306628534
Wall RR >=1.4,5,693,6,495,-0.00649439174214153,-0.020591029435256154,0.006318285190083259,-0.004799103454827968,-0.008567600261105368,0.4098124098124098,0.42631140716069943,0.9711110306628534
Wall RR <=0.7,5,638,6,460,-0.007413152636507241,-0.027942496716397817,0.010740342747919462,-0.005229157683943703,-0.008632038442742573,0.384012539184953,0.582014987510408,0.9711110306628534
