ticker,label,price_quality,price_score_56,rs63_rank_56,rs189_rank_56,ret_1d_pct,ret_5d_pct,ret_20d_pct,holdings_adapter,exact_flow_adapter,source_members,downloaded_members,source_member_coverage,internal_score_56,internal_delta20_56,internal_score_available_cross_section,internal_delta20_available_cross_section,flow_asof,flow_1d_usd,flow_5d_usd,flow_20d_usd,flow_20d_pct_aum,flow_provider,quality,state,breadth21,breadth21_rank_56,breadth50,breadth50_rank_56,ad20_score,ad20_score_rank_56,obv_positive20,obv_positive20_rank_56,updown_volume20,updown_volume20_rank_56
SMH,半導体,MARKET_PRICE_SERIES,63.63636363636363,30.909090909090907,96.36363636363636,0.6364049871586897,1.7977354259864464,2.0478096396065792,PASS,DATA_REQUIRED,26.0,25.0,0.9615384615384616,39.130434782608695,30.434782608695652,39.130434782608695,30.434782608695652,,,,,,,MEASURED_PRICE_INTERNAL_FLOW_MISSING,VALIDATION_REQUIRED,24.0,39.130434782608695,16.0,17.391304347826086,51.33333333333333,47.82608695652174,48.0,39.130434782608695,1.0135365634516862,26.08695652173913
HYDR,水素,MARKET_PRICE_SERIES,34.54545454545455,3.6363636363636362,65.45454545454545,-0.9239227976016728,1.6980783969304136,4.244847153172349,PASS,DATA_REQUIRED,25.0,7.0,0.28,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
XOP,石油探査,MARKET_PRICE_SERIES,88.18181818181819,89.0909090909091,87.27272727272727,1.6241821193976769,1.4604817120255964,8.423231602819016,PASS,PASS,52.0,50.0,0.9615384615384616,78.26086956521739,-17.391304347826093,78.26086956521739,-17.391304347826093,2026-08-31,-18892934.6,-9341625.54999978,-44418507.45,-1.114248566495667,SSGA,MEASURED_FULL_STACK_UNVALIDATED,VALIDATION_REQUIRED,84.0,97.82608695652173,84.0,97.82608695652173,54.333333333333336,78.26086956521739,74.0,78.26086956521739,1.2146042119836244,60.86956521739131
MOO,農業,MARKET_PRICE_SERIES,70.0,80.0,60.0,1.1648494152817213,1.1648494152817213,6.174363784552606,PASS,DATA_REQUIRED,55.0,19.0,0.34545454545454546,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
SOXX,半導体装置,MARKET_PRICE_SERIES,60.0,20.0,100.0,0.4757998999187496,0.9601359080688932,0.6618373616480877,PASS,PASS,30.0,30.0,1.0,30.434782608695656,26.086956521739133,30.434782608695656,26.086956521739133,2026-08-31,-102227161.6,937581141.3499995,-3505836591.2499995,-8.3849805402092,ISHARES,MEASURED_FULL_STACK_UNVALIDATED,VALIDATION_REQUIRED,16.666666666666664,26.08695652173913,10.0,4.3478260869565215,52.87037037037037,65.21739130434783,50.0,52.17391304347826,1.0231039812433134,30.434782608695656
DRIV,EV・自動運転,MARKET_PRICE_SERIES,34.54545454545455,12.727272727272727,56.36363636363636,-0.19953800025152013,0.7620484289461604,1.8324054542630197,PASS,DATA_REQUIRED,74.0,39.0,0.527027027027027,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
XSD,半導体EW,MARKET_PRICE_SERIES,51.81818181818181,10.909090909090908,92.72727272727272,0.6848784525211427,0.7350515988492345,-2.023586101374497,PASS,PASS,47.0,46.0,0.9787234042553191,43.47826086956522,30.434782608695656,43.47826086956522,30.434782608695656,2026-08-31,0.0,271.85000003129244,-102019564.65000004,-3.93151320435535,SSGA,MEASURED_FULL_STACK_UNVALIDATED,VALIDATION_REQUIRED,17.391304347826086,30.434782608695656,15.217391304347828,13.043478260869565,50.1207729468599,43.47826086956522,50.0,52.17391304347826,1.0473338053229926,43.47826086956522
QTUM,量子・次世代,MARKET_PRICE_SERIES,55.454545454545446,27.27272727272727,83.63636363636363,-0.19563738412692322,0.6805498729991921,1.3357057845535092,PASS,DATA_REQUIRED,88.0,66.0,0.75,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
SLX,鉄鋼,MARKET_PRICE_SERIES,60.0,41.81818181818181,78.18181818181819,-0.6256327996149946,0.3250961008877118,2.291889271968306,PASS,DATA_REQUIRED,42.0,15.0,0.35714285714285715,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
BLOK,ブロックチェーン,MARKET_PRICE_SERIES,23.636363636363637,29.09090909090909,18.181818181818183,0.708874865268716,0.2726951692801016,2.007179449637775,DATA_REQUIRED,DATA_REQUIRED,,,,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
XME,金融・鉱業,MARKET_PRICE_SERIES,52.72727272727273,38.18181818181819,67.27272727272727,-0.5137279950530371,0.22057733161755522,14.566963974548264,PASS,PASS,39.0,39.0,1.0,91.30434782608695,60.8695652173913,91.30434782608695,60.8695652173913,2026-08-31,-23629289.8,36063577.20000006,462351709.9499999,9.463981140118293,SSGA,MEASURED_FULL_STACK_UNVALIDATED,VALIDATION_REQUIRED,53.84615384615385,69.56521739130434,64.1025641025641,60.86956521739131,58.76068376068376,100.0,79.48717948717949,91.30434782608695,1.61741786603027,91.30434782608695
GRID,スマートグリッド,MARKET_PRICE_SERIES,44.54545454545455,36.36363636363637,52.72727272727272,-0.44645518212960145,0.10662314515159643,-1.9942889779185125,DATA_REQUIRED,DATA_REQUIRED,,,,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
IAI,証券・取引所,MARKET_PRICE_SERIES,56.36363636363636,67.27272727272727,45.45454545454545,-0.3433423034953864,-0.1488977686958326,3.816994243497418,PASS,PASS,35.0,34.0,0.9714285714285714,69.56521739130434,13.043478260869563,69.56521739130434,13.043478260869563,2026-08-31,0.0,0.0,-29201.4999999851,-0.0020718932997538,ISHARES,MEASURED_FULL_STACK_UNVALIDATED,VALIDATION_REQUIRED,76.47058823529412,86.95652173913044,76.47058823529412,86.95652173913044,51.55228758169934,52.17391304347826,50.0,52.17391304347826,1.2891863775777,69.56521739130434
URA,ウラン,MARKET_PRICE_SERIES,26.363636363636363,23.636363636363637,29.09090909090909,-0.13166858392108516,-0.39395997064127775,11.516777236175745,PASS,DATA_REQUIRED,57.0,12.0,0.21052631578947367,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
NLR,原子力,MARKET_PRICE_SERIES,13.636363636363635,21.818181818181817,5.454545454545454,0.09312614950369724,-0.4211235457451057,6.007356452047619,PASS,DATA_REQUIRED,27.0,15.0,0.5555555555555556,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
DTCR,データセンター,MARKET_PRICE_SERIES,47.27272727272727,14.545454545454545,80.0,-0.392859322684147,-0.4284214146833998,0.32374156495627027,PASS,DATA_REQUIRED,25.0,19.0,0.76,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
FAN,風力,MARKET_PRICE_SERIES,41.81818181818181,25.454545454545453,58.18181818181818,-0.8392814250095415,-0.5471425373018701,-0.714286057745861,DATA_REQUIRED,DATA_REQUIRED,,,,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
ICLN,クリーンEN,MARKET_PRICE_SERIES,14.545454545454545,7.2727272727272725,21.818181818181817,-1.0297500565766726,-0.7458466198456137,-3.835467164181794,PASS,PASS,103.0,15.0,0.14563106796116504,,,,,2026-08-31,0.0,-304908.6000000462,-17123402.10000003,-0.7849631692597677,ISHARES,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
SHLD,防衛テック,MARKET_PRICE_SERIES,38.18181818181818,50.90909090909091,25.454545454545453,-1.0726681648050573,-0.817923831551004,1.7244066537040803,PASS,DATA_REQUIRED,50.0,22.0,0.44,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
LIT,リチウム電池,MARKET_PRICE_SERIES,40.90909090909091,18.181818181818183,63.63636363636363,0.394377616618069,-0.8568038987068372,10.027371729231138,PASS,DATA_REQUIRED,41.0,7.0,0.17073170731707318,,,,,,,,,,,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
WOOD,林業,MARKET_PRICE_SERIES,50.00000000000001,76.36363636363637,23.636363636363637,-0.609928534972215,-0.9805367738694337,-1.389082861983082,PASS,PASS,25.0,7.0,0.28,,,,,2026-08-31,0.0,0.0,4244474.94,1.567263172073084,ISHARES,MEASURED_PRICE_ONLY,PRICE_ONLY,,,,,,,,,,
XBI,バイオテック,MARKET_PRICE_SERIES,85.45454545454545,96.36363636363636,74.54545454545455,0.07389771744008566,-1.017237124670456,10.311589636246033,PASS,PASS,147.0,146.0,0.9931972789115646,95.65217391304348,78.2608695652174,95.65217391304348,78.2608695652174,2026-08-31,-121930617.75,298905259.12499946,790903832.6000003,6.934968532775763,SSGA,MEASURED_FULL_STACK_UNVALIDATED,VALIDATION_REQUIRED,49.31506849315068,65.21739130434783,59.589041095890416,56.52173913043478,57.68645357686454,95.65217391304348,84.93150684931507,95.65217391304348,1.6743454145243215,100.0
GNOM,ゲノム,MARKET_PRICE_SERIES,92.72727272727272,100.0,85.45454545454545,-0.5956171272239574,-1.0840377933082679,17.359541691476245,PASS,DATA_REQUIRED,50.0,48.0,0.96,78.26086956521739,34.78260869565217,78.26086956521739,34.78260869565217,,,,,,,MEASURED_PRICE_INTERNAL_FLOW_MISSING,VALIDATION_REQUIRED,64.58333333333334,78.26086956521739,64.58333333333334,65.21739130434783,54.34027777777778,82.6086956521739,79.16666666666666,86.95652173913044,1.4902480106383953,78.26086956521739
