sector_etf,provider_symbol,symbol,weight_pct,name,source_url,provider
FAN,1798.HK,1798.HK,0.41,"China Datang Corp Renewable Power Co., Ltd. (Class H)",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,PNE3.GY,PNE3.DE,0.4,PNE AG,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,182.HK,0182.HK,0.34,Concord New Energy Group Ltd,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,EKT.GY,EKT.DE,0.33,Energiekontor AG,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,018000.KS,018000.KS,0.33,"Unison Co., Ltd.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,SGL.GY,SGL.DE,0.24,SGL Carbon SE,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,ORRON.SS,ORRON.ST,0.19,Orron Energy AB,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,GWIND.TI,GWIND.TI,0.12,Galata Wind Enerji A.S.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,SIFG.NA,SIFG.AS,0.09,SIF Holding NV,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
FAN,297090.KS,297090.KS,0.06,"CS Bearing Co., Ltd.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
