rule,period,input_signals,n,end,cagr,mdd,avg_exposure,max_exposure,max_concurrent,accepted,skipped_position_cap,skipped_theme_cap,confirmation_adds,turnover_nav
MC_20_50_SEC50,DISCOVERY,232,1511,0.9706201671011576,-0.004965489685626601,-0.035110890254677285,0.010084127041519748,0.03709482917017118,1,27,205,0,0,1.5385850111313817
MC_20_50_SEC50,CONFIRM,196,1126,1.0210237695633901,0.004647232132991119,-0.04221210131528641,0.015075376880404582,0.052278096976805244,1,29,167,0,0,1.702618539642117
MC_20_50_SEC60,DISCOVERY,196,1511,0.9592448033222639,-0.006921712279537751,-0.043966749063577004,0.009617404320191744,0.03320603523424194,1,26,170,0,0,1.46827534429575
MC_20_50_SEC60,CONFIRM,159,1126,1.0176803318634744,0.0039131804131611325,-0.02841114494480257,0.014303755294954586,0.05227809697680524,1,27,132,0,0,1.5810603588437586
MC_20_50_SEC70,DISCOVERY,144,1511,0.9593300762219588,-0.006906976165574452,-0.047800926832444746,0.00921864358320294,0.03421188364234214,1,25,119,0,0,1.4091049209098103
MC_20_50_SEC70,CONFIRM,102,1126,0.9904318901075163,-0.0021401754571334086,-0.02841114494480279,0.013012244143317689,0.04020648593162192,1,25,77,0,0,1.441330011192899
MC_20_50_SEC60_UP1,DISCOVERY,97,1511,1.022185215980976,0.0036696088079288813,-0.028472732049371507,0.008954884644994398,0.04694158667676044,1,23,74,0,0,1.3577289944821713
MC_20_50_SEC60_UP1,CONFIRM,95,1126,1.0319139414197114,0.007025290278915186,-0.02455001514472399,0.011160015664189794,0.05227809697680524,1,21,74,0,0,1.2473136652404127
RSI27P5_MC_20_50_SEC60,DISCOVERY,77,1511,1.048492234318247,0.007935980730759296,-0.04995441995444794,0.009302481314690922,0.1078505793009012,1,24,53,0,0,1.4386860724526915
RSI27P5_MC_20_50_SEC60,CONFIRM,71,1126,0.9999972344565948,-6.16287414656469e-07,-0.03016207517159164,0.011642518868890285,0.050024440014791505,1,22,49,0,0,1.2771336865827367
RSI25_MC_20_50_SEC60,DISCOVERY,29,1511,1.0103214994151801,0.0017156051799382954,-0.020083509646175113,0.005227004768002292,0.03814301990295305,1,14,15,0,0,0.8222947384304494
RSI25_MC_20_50_SEC60,CONFIRM,21,1126,1.0120734259156272,0.002677966394749598,-0.011578690633064048,0.006824710344982668,0.03601377446163224,1,13,8,0,0,0.7657979776933327
