engine,variant,timing,cost,policy,period,n,cagr,mdd,sharpe,sortino,calmar,daily_pf
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,NATIVE_NO_FILL,2018,251,0.2878308601673816,-0.23941381825187225,0.917642695036669,1.3760137493586657,1.2022316099757149,1.203793858249346
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,NATIVE_NO_FILL,2019,252,0.41524579806980655,-0.12596157339107938,1.7023275665899031,2.7160735004137346,3.2966069483791816,1.365540076081811
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,NATIVE_NO_FILL,2020,253,1.7122118933242954,-0.24422298225558048,2.6145464958440163,4.55049389236038,7.010854906081106,1.7020232714641594
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,NATIVE_NO_FILL,2021,252,0.41835003952941374,-0.2532517810281516,1.2221073818362311,1.7618418722628617,1.6519135140175372,1.220522732565728
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,NATIVE_NO_FILL,2022,251,-0.05884649217004356,-0.1336412553638492,-0.24360010518217926,-0.3198993952350704,-0.4403317823514094,0.9374257984178586
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,NATIVE_NO_FILL,2023,250,0.5992641933676361,-0.1450478201220774,2.1739612980099734,3.29388444121582,4.131493964288978,1.4850272028388456
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,NATIVE_NO_FILL,2024,252,0.9232785495198244,-0.18551826119443882,2.0594080438810294,3.1266519874275085,4.976752927584581,1.4330973493752066
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,NATIVE_NO_FILL,2025,250,0.6967692636446665,-0.1174182007467015,1.9826431031567986,3.19274274157291,5.934082273563028,1.430778777527401
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL5,NATIVE_NO_FILL,2026,54,-0.3713293071446738,-0.21819735746895808,-0.9618044110548466,-1.2318039933702287,-1.7018047855941663,0.8414528429596099
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL10,NATIVE_NO_FILL,FULL,2568,0.46949696461157453,-0.25431263059724984,1.49119282009979,2.278104914438731,1.8461409624404699,1.3340714997385146
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL10,NATIVE_NO_FILL,2016_2020,1259,0.5329457968782816,-0.24675651465984538,1.6498014772948786,2.639169807854668,2.1598043626647465,1.3934948016818598
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL10,NATIVE_NO_FILL,2021_2025,1255,0.4619531587170618,-0.25431263059724984,1.4882586225491805,2.217555148484136,1.816477449948793,1.3199451913740643
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL10,NATIVE_NO_FILL,2022_2025,1003,0.47799897450460227,-0.20246366596422782,1.5893630251972366,2.4031500082023323,2.36091237520641,1.3620345820259798
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL10,NATIVE_NO_FILL,2022_2026_AVAILABLE,1057,0.4136230367793985,-0.2198339573349456,1.389706468103328,2.057941168439892,1.8815247734870644,1.309372171841466
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL10,NATIVE_NO_FILL,2016,252,0.2871991909899383,-0.16039125245603625,1.4271515172986315,2.1524152698627566,1.7906162997801922,1.298819484399744
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL10,NATIVE_NO_FILL,2017,251,0.3571894006214955,-0.10983756351306295,1.8193706727716779,2.667770605845101,3.2519785508444485,1.3416463527979643
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL10,NATIVE_NO_FILL,2018,251,0.2773823484875628,-0.24054907311163787,0.8938931209042645,1.3385059853656032,1.1531216682711174,1.1979253615529717
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL10,NATIVE_NO_FILL,2019,252,0.40675751276725713,-0.12689275571231717,1.6740714742806806,2.666474310799441,3.2055219423985934,1.3582000045850033
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL10,NATIVE_NO_FILL,2020,253,1.6872992490544885,-0.24675651465984572,2.5927828291430117,4.504219944417479,6.837911661138647,1.6937062506165033
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL10,NATIVE_NO_FILL,2021,252,0.39979623121446206,-0.25431263059724984,1.182740740934086,1.701973973226993,1.5720659657192249,1.2125688527180265
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL10,NATIVE_NO_FILL,2022,251,-0.06462662942918462,-0.13419217368387903,-0.27746656870671826,-0.3638637178136684,-0.48159760480091574,0.929142469817698
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL10,NATIVE_NO_FILL,2023,250,0.5884336666692798,-0.14607927619590122,2.145008026307452,3.2463390329141193,4.02818032778417,1.4772536945389865
