period,method,dimension,bucket,n,mean20,median20,win20,pf20,mae20,p10_20
DISCOVERY,M10_RSI65_DD075,rs189_bucket,85_90,3586,0.015555637005530648,0.010609238082653683,0.5504740658114892,1.4502348280783588,-0.07841430123660094,-0.10831089489756368
DISCOVERY,M10_RSI65_DD075,rs189_bucket,90_95,3367,0.013572829628430188,0.006983805027730773,0.5307395307395307,1.3427214501206508,-0.08870652973482675,-0.1262187079546186
DISCOVERY,M10_RSI65_DD075,rs189_bucket,GE95,3830,0.028576230708094195,0.005204191365762779,0.5120104438642298,1.5250046146906744,-0.11796301380448526,-0.1732243094367758
DISCOVERY,M5_RSI65_DD075,mc_bucket,20_50_NOTUP,1364,0.043732900761090085,0.029577216118770178,0.6326979472140762,2.3890415262363303,-0.08089067570221682,-0.10730363047436388
DISCOVERY,M5_RSI65_DD075,mc_bucket,20_50_UP,1864,0.027872535394448613,0.021232935724382673,0.596030042918455,1.8037774996701375,-0.08301298081607106,-0.11678641918782841
DISCOVERY,M5_RSI65_DD075,mc_bucket,GE50_OTHER,2715,0.01718281481755198,-0.003366952171376613,0.4876611418047882,1.328618246427293,-0.108426838027731,-0.15966490787024473
DISCOVERY,M5_RSI65_DD075,mc_bucket,GE50_UP,4992,0.014371430290153916,0.0013903027003018273,0.5050080128205128,1.3018015493599011,-0.09877805389892402,-0.14888712271760346
DISCOVERY,M5_RSI65_DD075,mc_bucket,LT20,787,-0.005640340709783088,-0.004544621979288176,0.48284625158831,0.888756682834367,-0.11757159324137141,-0.17473913760586957
DISCOVERY,M5_RSI65_DD075,sector_bucket,50_60,2050,0.014146164089091926,0.006365571481140032,0.5273170731707317,1.2892076108526853,-0.10075217249614533,-0.15074853147676487
DISCOVERY,M5_RSI65_DD075,sector_bucket,60_70,2003,0.02358474437337122,0.007501542119727201,0.527209186220669,1.5322859399497109,-0.0948779191662249,-0.14475427601242707
DISCOVERY,M5_RSI65_DD075,sector_bucket,70_80,1922,0.028540018957046404,0.014158084295856854,0.5624349635796045,1.7269341298756662,-0.09140283199752035,-0.13055018196973492
DISCOVERY,M5_RSI65_DD075,sector_bucket,GE80,5747,0.016437595426298517,0.00511114501953125,0.5187054115190535,1.3596287891475367,-0.09967290121496038,-0.14456463017005972
DISCOVERY,M5_RSI65_DD075,rs189_bucket,85_90,3788,0.017296659529524933,0.010090617740078467,0.5509503695881732,1.4997373692238005,-0.07790725933688905,-0.10873421795812305
DISCOVERY,M5_RSI65_DD075,rs189_bucket,90_95,3502,0.013961356961289645,0.008014767699326408,0.5351227869788692,1.3533342315190997,-0.08865469812639343,-0.1259283000573025
DISCOVERY,M5_RSI65_DD075,rs189_bucket,GE95,3936,0.0283280475978704,0.004876581315204077,0.5104166666666666,1.5114599576390908,-0.1185251528796928,-0.17447781241900928
CONFIRM,M10_RSI55_DD075,mc_bucket,20_50_NOTUP,641,0.009798880564112945,-0.0069942402088778435,0.4836193447737909,1.1796271361759683,-0.1118141510623178,-0.1606468371792492
CONFIRM,M10_RSI55_DD075,mc_bucket,20_50_UP,1084,0.025530689668525286,0.011159797046166098,0.5350553505535055,1.5505487590410247,-0.10382538656559862,-0.14577897579765098
CONFIRM,M10_RSI55_DD075,mc_bucket,GE50_OTHER,731,0.023144787618076423,-0.012111129425843359,0.4746922024623803,1.3146259809713075,-0.1386396520098677,-0.21760651020976585
CONFIRM,M10_RSI55_DD075,mc_bucket,GE50_UP,1787,0.0038986430165266032,-0.013681343247134437,0.4622271964185786,1.0507855308039342,-0.13910722175521784,-0.23520000090171478
CONFIRM,M10_RSI55_DD075,mc_bucket,LT20,938,0.02465547580583682,0.015946031052522458,0.5618336886993603,1.6363175804464707,-0.09398353975988598,-0.1332179769452292
CONFIRM,M10_RSI55_DD075,sector_bucket,50_60,752,0.009757721821652167,-0.009532035691056984,0.46808510638297873,1.1682195774582775,-0.11988556332029768,-0.18491158233938668
CONFIRM,M10_RSI55_DD075,sector_bucket,60_70,741,0.0027237071082075034,-0.00404811448836162,0.4885290148448043,1.0476091487888775,-0.11538167970976233,-0.18139216957351378
CONFIRM,M10_RSI55_DD075,sector_bucket,70_80,839,0.016683236524152555,-0.0010466175353737164,0.49463647199046484,1.2810194016161938,-0.11482015012467967,-0.18188917745661912
CONFIRM,M10_RSI55_DD075,sector_bucket,GE80,2849,0.02022309299637468,0.0037739184958262015,0.5128115128115128,1.3260353694059366,-0.12296260681720295,-0.20208513592664956
CONFIRM,M10_RSI55_DD075,rs189_bucket,85_90,1407,0.016987939605848774,0.006336706832694384,0.5223880597014925,1.3733412798905977,-0.09334413939058574,-0.1458743804103614
CONFIRM,M10_RSI55_DD075,rs189_bucket,90_95,1676,0.014209622398888275,0.000686518164702,0.502983293556086,1.2753518583742567,-0.10715490053008754,-0.15594133245813413
CONFIRM,M10_RSI55_DD075,rs189_bucket,GE95,1971,0.014663972856996556,-0.007514732411626256,0.4824961948249619,1.1917511673994952,-0.14755541302078642,-0.23676075693761267
CONFIRM,M10_RSI60_DD075,mc_bucket,20_50_NOTUP,1125,0.013296314546044736,-0.007993624212252914,0.4728888888888889,1.2408205237810266,-0.11148905767367723,-0.17290026609544293
CONFIRM,M10_RSI60_DD075,mc_bucket,20_50_UP,1639,0.02836634848546499,0.010809163868636396,0.5326418547895058,1.6029763513259891,-0.10318992513902178,-0.14992096327085555
