date,current_15_55_20_10,cont_30_40_15_15,cont_35_30_20_15,cont_30_35_20_15,cont_30_30_20_20,cont_25_40_20_15,vote_t70_dd8_dir1_r630,vote_t70_dd10_dir1_r631,vote_t70_dd10_dir1_r630,QQQ
2024-10-16,88.66904655755712,88.30497626004043,88.2582285939088,88.45315494372436,88.82204237933828,88.64808129353995,99.78748942720243,99.8038363943378,99.78748942720243,486.497802734375
2024-10-17,88.53955592322612,87.70069073987881,87.44863231469239,87.80601797787446,88.14463702206899,88.16340364105653,99.9291631424008,99.93461213144593,99.9291631424008,486.8347473144531
2024-10-18,89.02635870841544,88.59168647558252,88.48447676483013,88.70389993201877,89.03971065718798,88.92332309920741,99.9763877141336,99.97820404381531,99.9763877141336,490.0257873535156
2024-10-21,84.8847542496065,81.49474566021101,80.49249674428121,81.69595485949448,82.11752981502227,82.89941297470776,83.32546257137787,84.60811929665638,83.32546257137787,490.9672546386719
2024-10-22,82.84386589464998,78.31649350289862,76.97209206852023,78.5600994312793,79.04035505618587,80.1481067940384,77.77515419045929,79.48475771427007,77.77515419045929,491.50238037109375
2024-10-23,76.759655634917,68.932644298946,66.70742013956286,69.39132944005605,70.07473114667475,72.07523874054928,70.3694958412642,72.64876539193617,70.3694958412642,483.9706726074219
2024-10-24,76.09156029581408,67.89829725789782,65.57926911498336,68.38393641267862,69.09031442262895,71.18860371037388,73.45649861375473,75.49830641269668,73.45649861375473,487.8951110839844
2024-10-25,74.42833154641615,66.52380110616797,64.44268285875427,67.1506639894114,67.996939824378,69.85864512006852,68.92994398236269,71.3199482914117,68.92994398236269,490.8681640625
2024-10-28,77.4826761720377,70.83707932495162,69.07745713698094,71.35985937694184,72.0842493017287,73.64226161690274,72.9766479941209,75.05536737918852,72.9766479941209,490.94744873046875
2024-10-29,76.13471360616745,71.11726297363707,70.03758952826412,71.7921332603274,72.71318411067723,73.5466769923907,68.76999377581807,71.17230194690899,68.76999377581807,495.6646423339844
2024-10-30,76.03316211114674,71.13254304508442,70.08229695835516,71.80284913391385,72.73419268335707,73.52340130947256,67.36777570305046,69.87794680281581,67.36777570305046,491.9186096191406
2024-10-31,69.85808604534661,62.74778879178446,61.195854911022856,63.648707319710766,64.79788582013867,66.1015597283987,61.34481412323904,64.31828995991296,61.34481412323904,479.50128173828125
2024-11-01,71.4691963534348,63.7708368286461,61.76442620845957,64.42855041202894,65.3802770813312,67.09267461559833,59.3371602633019,62.46507101227868,59.3371602633019,483.049072265625
2024-11-04,69.83505796778658,62.17579717912394,60.38282837531317,63.016436555403075,64.09863968328929,65.65004473549298,58.66794230998952,61.847331363067255,58.66794230998952,481.641845703125
2024-11-05,77.38954794212415,72.49708811694703,71.26539004205165,72.9873391211613,73.75097753752742,74.70928820027095,75.11153632555207,77.02603353127883,75.11153632555207,487.78607177734375
